00Z 01 Jan 2017, 0.00 6.48
12Z 01 Jan 2017, 0.00 6.84
12Z 02 Jan 2017, 22.86 8.76
12Z 07 Jan 2017, 0.00 8.46
15Z 07 Jan 2017, 0.00 6.43
00Z 08 Jan 2017, 0.00 3.52
15Z 08 Jan 2017, 0.04 8.88
00Z 09 Jan 2017, 0.00 6.92
12Z 09 Jan 2017, 90.27 12.74
00Z 10 Jan 2017, 0.00 4.09
12Z 11 Jan 2017, 0.00 6.68
00Z 12 Jan 2017, 0.00 5.98
12Z 12 Jan 2017, 0.00 3.25
00Z 13 Jan 2017, 0.00 5.71
12Z 13 Jan 2017, 129.46 7.97
00Z 14 Jan 2017, 0.00 4.52
12Z 14 Jan 2017, 0.00 5.90
00Z 15 Jan 2017, 0.00 6.93
12Z 15 Jan 2017, 0.00 5.55
00Z 16 Jan 2017, 0.00 10.93
12Z 16 Jan 2017, 0.00 4.69
00Z 17 Jan 2017, 0.00 6.76
12Z 17 Jan 2017, 0.00 7.20
00Z 18 Jan 2017, 0.00 7.30
12Z 18 Jan 2017, 0.00 5.26
00Z 19 Jan 2017, 0.00 6.74
12Z 19 Jan 2017, 550.22 11.96
00Z 20 Jan 2017, 44.08 11.40
12Z 20 Jan 2017, 469.32 15.38
00Z 21 Jan 2017, 0.00 14.48
12Z 21 Jan 2017, 928.09 16.65
00Z 22 Jan 2017, 0.00 9.52
12Z 22 Jan 2017, 556.26 12.63
00Z 23 Jan 2017, 0.00 9.46
12Z 23 Jan 2017, 19.82 10.35
00Z 24 Jan 2017, 0.00 9.18
12Z 24 Jan 2017, 343.60 14.38
00Z 25 Jan 2017, 0.00 13.23
12Z 25 Jan 2017, 107.85 14.19
21Z 25 Jan 2017, 0.00 10.40
15Z 27 Jan 2017, 436.86 10.23
21Z 27 Jan 2017, 0.00 10.42
12Z 28 Jan 2017, 0.00 9.76
21Z 28 Jan 2017, 0.00 4.17
12Z 29 Jan 2017, 0.00 10.30
12Z 30 Jan 2017, 4.16 7.20
00Z 31 Jan 2017, 0.00 6.65
12Z 31 Jan 2017, 97.91 9.17
00Z 01 Feb 2017, 0.00 7.93
12Z 01 Feb 2017, 18.47 13.62
00Z 02 Feb 2017, 0.00 8.98
12Z 02 Feb 2017, 23.93 12.52
00Z 03 Feb 2017, 0.00 9.31
12Z 03 Feb 2017, 23.96 13.09
00Z 04 Feb 2017, 0.00 10.04
12Z 04 Feb 2017, 4.66 12.54
00Z 05 Feb 2017, 0.00 9.12
12Z 05 Feb 2017, 77.91 10.02
00Z 06 Feb 2017, 0.00 8.08
