Estación:       RIO TOMATLAN,  JAL
Operada por:    SMN EMAS
Longitud:       105°08'00"  Latitud: 19°59'54"  Altitud: 141

DD/MM/AAAA HH:MM      DIRS      DIRR      VELS      VELR      TEMP        HR        PB      PREC   RADSOL
25/01/2018 23:00         0       236      0.00      0.00      26.2        71     995.9       0.0     126.2
26/01/2018 00:00         0       305      0.00      0.00      26.0        71     996.0       0.0      37.8
26/01/2018 01:00         0       343      0.00      0.00      25.2        74     996.4       0.0       0.0
26/01/2018 02:00         0       320      0.00      0.00      24.1        77     996.9       0.0       0.0
26/01/2018 03:00        44        53      3.34     18.90      23.8        78     997.5       0.0       0.0
26/01/2018 04:00        36        45      5.50     17.70      23.1        80     998.0       0.0       0.0
26/01/2018 05:00        14        30      5.63     16.40      22.9        81     997.9       0.0       0.0
26/01/2018 06:00       359       356      4.30     16.50      22.6        81     997.7       0.0       0.0
26/01/2018 07:00       325        25      1.02     15.30      22.5        81     997.3       0.0       0.0
26/01/2018 08:00         0        65      0.00      0.00      22.1        82     996.7       0.0       0.0
26/01/2018 09:00        34        44      5.98     15.80      21.7        82     996.0       0.0       0.0
26/01/2018 10:00       321       339      7.37     17.40      21.5        82     995.5       0.0       0.0
26/01/2018 11:00         1       294      0.02     10.90      21.4        80     995.4       0.0       0.0
26/01/2018 12:00       319       338      5.05     14.50      20.9        80     995.5       0.0       0.0
26/01/2018 13:00        50        57      4.89     16.50      20.5        80     996.1       0.0       1.3
26/01/2018 14:00        44        59      3.30     14.40      20.5        82     996.6       0.0     107.5
26/01/2018 15:00         0        48      0.00      0.00      21.3        81     997.1       0.0     335.2
26/01/2018 16:00         0        41      0.00      1.50      23.3        78     997.4       0.0     545.0
26/01/2018 17:00         0         1      0.00      0.00      25.8        71     997.2       0.0     709.0
26/01/2018 18:00         0        24      0.00      0.00      27.4        62     996.3       0.0     807.7
26/01/2018 19:00         0        17      0.00      0.00      29.2        56     995.4       0.0     832.3
26/01/2018 20:00         0        43      0.00      0.00      31.5        50     994.2       0.0     781.5
26/01/2018 21:00       163       161      4.88     25.60      32.9        40     993.3       0.0     666.3
26/01/2018 22:00       160       155     13.23     26.00      32.7        33     992.7       0.0     495.0
26/01/2018 23:00       175       170      7.80     21.90      31.3        33     992.8       0.0     141.5
27/01/2018 00:00         0       181      0.00      0.00      29.4        36     993.3       0.0      16.7
27/01/2018 01:00         0       200      0.00      0.00      27.9        40     993.8       0.0       0.0
27/01/2018 02:00         0       301      0.00      0.00      25.2        48     994.5       0.0       0.0
27/01/2018 03:00         0        65      0.00      1.60      24.7        52     995.0       0.0       0.0
27/01/2018 04:00       353       351      0.03      7.70      24.5        56     995.2       0.0       0.0
27/01/2018 05:00         0        31      0.00      0.00      23.1        62     995.1       0.0       0.0
27/01/2018 06:00         0        29      0.00      0.00      22.5        67     994.8       0.0       0.0
27/01/2018 07:00         0        19      0.00      0.00      22.0        70     994.3       0.0       0.0
27/01/2018 08:00         0       348      0.00      0.00      22.2        71     993.9       0.0       0.0
27/01/2018 09:00         0        24      0.00      0.00      21.9        72     993.4       0.0       0.0
27/01/2018 10:00         0        49      0.00      0.00      21.0        75     993.0       0.0       0.0
27/01/2018 11:00         0        37      0.00      0.00      20.4        77     992.9       0.0       0.0
27/01/2018 12:00         0       340      0.00      0.00      20.2        78     993.3       0.0       0.0
27/01/2018 13:00         0        51      0.00      0.00      19.7        80     993.8       0.0       1.3
27/01/2018 14:00         0        54      0.00      0.00      19.8        81     994.3       0.0     106.7
27/01/2018 15:00         0        55      0.00      0.00      20.9        80     995.0       0.0     335.5
27/01/2018 16:00         0       338      0.00      0.00      23.0        76     995.5       0.0     545.8
27/01/2018 17:00         0         7      0.00      0.00      24.4        73     995.4       0.0     712.0
27/01/2018 18:00         0        34      0.00      0.00      26.3        68     994.7       0.0     810.5
27/01/2018 19:00         0         2      0.00      0.00      28.7        63     993.6       0.0     835.0
27/01/2018 20:00       168       168      2.93     23.20      32.0        51     992.3       0.0     783.8
27/01/2018 21:00       167       162      7.93     28.30      32.8        38     991.5       0.0     674.8
27/01/2018 22:00       173       179      5.80     20.80      32.7        34     991.2       0.0     495.2
27/01/2018 23:00       178       185      6.85     20.30      31.1        35     991.2       0.0     145.5
28/01/2018 00:00       197       186      2.37     18.60      29.7        36     991.5       0.0      18.3
28/01/2018 01:00       180       192      5.97     15.80      28.2        38     992.1       0.0       0.0
28/01/2018 02:00       273       252      0.07      6.10      26.0        46     992.9       0.0       0.0
28/01/2018 03:00         0       319      0.00      0.00      25.0        51     993.6       0.0       0.0
28/01/2018 04:00         0       302      0.00      0.00      23.8        59     993.8       0.0       0.0
28/01/2018 05:00       332       347      1.74     12.60      23.2        65     994.2       0.0       0.0
28/01/2018 06:00        44        53      1.22     11.50      22.5        69     994.1       0.0       0.0
28/01/2018 07:00        43        28      3.46     14.10      22.0        72     994.1       0.0       0.0
28/01/2018 08:00        57        51      1.32     13.80      21.3        75     994.1       0.0       0.0
28/01/2018 09:00        36        56      0.03      3.30      20.8        77     993.9       0.0       0.0
28/01/2018 10:00        53        53      5.04     15.10      20.5        78     993.2       0.0       0.0
28/01/2018 11:00         9        35      1.17     13.20      20.1        80     993.0       0.0       0.0
28/01/2018 12:00        55        46      2.81     13.90      19.6        81     993.0       0.0       0.0
28/01/2018 13:00        47        55      5.95     14.40      19.5        83     993.8       0.0       1.3
28/01/2018 14:00        56        57      7.11     15.00      19.4        84     994.5       0.0     104.2
28/01/2018 15:00         0        56      0.00      0.00      20.6        82     995.2       0.0     322.7
28/01/2018 16:00         0         8      0.00      0.00      22.2        79     995.5       0.0     521.2
28/01/2018 17:00         0        32      0.00      0.00      24.0        74     995.3       0.0     674.3
